"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	"2015"	"2015"	49	55347	88.5	92.2
	"Autauga County, AL"	"01001"	"2016"	"2016"	61	55416	110.1	110.5
	"Autauga County, AL"	"01001"	"2017"	"2017"	57	55504	102.7	97.7
	"Autauga County, AL"	"01001"	"2018"	"2018"	44	55601	79.1	73.0
	"Baldwin County, AL"	"01003"	"2015"	"2015"	278	203709	136.5	118.8
	"Baldwin County, AL"	"01003"	"2016"	"2016"	261	208563	125.1	110.8
	"Baldwin County, AL"	"01003"	"2017"	"2017"	285	212628	134.0	116.5
	"Baldwin County, AL"	"01003"	"2018"	"2018"	287	218022	131.6	117.0
	"Barbour County, AL"	"01005"	"2015"	"2015"	31	26489	117.0	103.8
	"Barbour County, AL"	"01005"	"2016"	"2016"	27	25965	104.0	95.0
	"Barbour County, AL"	"01005"	"2017"	"2017"	31	25270	122.7	103.7
	"Barbour County, AL"	"01005"	"2018"	"2018"	24	24881	96.5	92.3
	"Bibb County, AL"	"01007"	"2015"	"2015"	30	22583	132.8	129.8
	"Bibb County, AL"	"01007"	"2016"	"2016"	36	22643	159.0	148.2
	"Bibb County, AL"	"01007"	"2017"	"2017"	32	22668	141.2	136.7
	"Bibb County, AL"	"01007"	"2018"	"2018"	33	22400	147.3	144.3
	"Blount County, AL"	"01009"	"2015"	"2015"	82	57673	142.2	137.0
	"Blount County, AL"	"01009"	"2016"	"2016"	95	57704	164.6	156.5
	"Blount County, AL"	"01009"	"2017"	"2017"	84	58013	144.8	143.8
	"Blount County, AL"	"01009"	"2018"	"2018"	77	57840	133.1	122.3
	"Bullock County, AL"	"01011"	"2015"	"2015"	15	10696	Unreliable	Unreliable
	"Bullock County, AL"	"01011"	"2016"	"2016"	15	10362	Unreliable	Unreliable
	"Bullock County, AL"	"01011"	"2017"	"2017"	10	10309	Unreliable	Unreliable
	"Bullock County, AL"	"01011"	"2018"	"2018"	15	10138	Unreliable	Unreliable
	"Butler County, AL"	"01013"	"2015"	"2015"	27	20154	134.0	129.8
	"Butler County, AL"	"01013"	"2016"	"2016"	28	19998	140.0	124.1
	"Butler County, AL"	"01013"	"2017"	"2017"	34	19825	171.5	153.0
	"Butler County, AL"	"01013"	"2018"	"2018"	21	19680	106.7	100.3
	"Calhoun County, AL"	"01015"	"2015"	"2015"	170	115620	147.0	138.1
	"Calhoun County, AL"	"01015"	"2016"	"2016"	137	114611	119.5	115.8
	"Calhoun County, AL"	"01015"	"2017"	"2017"	165	114728	143.8	135.9
	"Calhoun County, AL"	"01015"	"2018"	"2018"	153	114277	133.9	124.7
	"Chambers County, AL"	"01017"	"2015"	"2015"	36	34123	105.5	92.7
	"Chambers County, AL"	"01017"	"2016"	"2016"	63	33843	186.2	165.8
	"Chambers County, AL"	"01017"	"2017"	"2017"	43	33713	127.5	105.2
	"Chambers County, AL"	"01017"	"2018"	"2018"	42	33615	124.9	114.1
	"Cherokee County, AL"	"01019"	"2015"	"2015"	34	25859	131.5	109.6
	"Cherokee County, AL"	"01019"	"2016"	"2016"	51	25725	198.3	190.0
	"Cherokee County, AL"	"01019"	"2017"	"2017"	35	25857	135.4	114.9
	"Cherokee County, AL"	"01019"	"2018"	"2018"	45	26032	172.9	158.4
	"Chilton County, AL"	"01021"	"2015"	"2015"	64	43943	145.6	142.8
	"Chilton County, AL"	"01021"	"2016"	"2016"	39	43941	88.8	79.9
	"Chilton County, AL"	"01021"	"2017"	"2017"	50	44067	113.5	104.4
	"Chilton County, AL"	"01021"	"2018"	"2018"	66	44153	149.5	143.9
	"Choctaw County, AL"	"01023"	"2015"	"2015"	18	13170	Unreliable	Unreliable
	"Choctaw County, AL"	"01023"	"2016"	"2016"	14	12993	Unreliable	Unreliable
	"Choctaw County, AL"	"01023"	"2017"	"2017"	16	12945	Unreliable	Unreliable
	"Choctaw County, AL"	"01023"	"2018"	"2018"	20	12841	155.8	127.6
	"Clarke County, AL"	"01025"	"2015"	"2015"	21	24675	85.1	76.6
	"Clarke County, AL"	"01025"	"2016"	"2016"	27	24392	110.7	96.5
	"Clarke County, AL"	"01025"	"2017"	"2017"	24	24083	99.7	85.2
	"Clarke County, AL"	"01025"	"2018"	"2018"	27	23920	112.9	109.4
	"Clay County, AL"	"01027"	"2015"	"2015"	22	13555	162.3	124.5
	"Clay County, AL"	"01027"	"2016"	"2016"	23	13492	170.5	136.9
	"Clay County, AL"	"01027"	"2017"	"2017"	20	13367	149.6	126.8
	"Clay County, AL"	"01027"	"2018"	"2018"	24	13275	180.8	158.0
	"Cleburne County, AL"	"01029"	"2015"	"2015"	15	15018	Unreliable	Unreliable
	"Cleburne County, AL"	"01029"	"2016"	"2016"	21	14924	140.7	134.3
	"Cleburne County, AL"	"01029"	"2017"	"2017"	25	14900	167.8	142.4
	"Cleburne County, AL"	"01029"	"2018"	"2018"	20	14987	133.4	116.5
	"Coffee County, AL"	"01031"	"2015"	"2015"	48	51211	93.7	87.0
	"Coffee County, AL"	"01031"	"2016"	"2016"	61	51226	119.1	113.9
	"Coffee County, AL"	"01031"	"2017"	"2017"	44	51874	84.8	77.2
	"Coffee County, AL"	"01031"	"2018"	"2018"	64	51909	123.3	114.1
	"Colbert County, AL"	"01033"	"2015"	"2015"	77	54354	141.7	118.4
	"Colbert County, AL"	"01033"	"2016"	"2016"	72	54216	132.8	107.1
	"Colbert County, AL"	"01033"	"2017"	"2017"	61	54500	111.9	104.3
	"Colbert County, AL"	"01033"	"2018"	"2018"	90	54762	164.3	138.7
	"Conecuh County, AL"	"01035"	"2015"	"2015"	19	12672	Unreliable	Unreliable
	"Conecuh County, AL"	"01035"	"2016"	"2016"	13	12395	Unreliable	Unreliable
	"Conecuh County, AL"	"01035"	"2017"	"2017"	18	12469	Unreliable	Unreliable
	"Conecuh County, AL"	"01035"	"2018"	"2018"	16	12277	Unreliable	Unreliable
	"Coosa County, AL"	"01037"	"2015"	"2015"	17	10724	Unreliable	Unreliable
	"Coosa County, AL"	"01037"	"2016"	"2016"	30	10581	283.5	255.1
	"Coosa County, AL"	"01037"	"2017"	"2017"	21	10754	195.3	171.5
	"Coosa County, AL"	"01037"	"2018"	"2018"	11	10715	Unreliable	Unreliable
	"Covington County, AL"	"01039"	"2015"	"2015"	35	37835	92.5	80.6
	"Covington County, AL"	"01039"	"2016"	"2016"	30	37458	80.1	70.5
	"Covington County, AL"	"01039"	"2017"	"2017"	48	37092	129.4	111.9
	"Covington County, AL"	"01039"	"2018"	"2018"	43	36986	116.3	95.8
	"Crenshaw County, AL"	"01041"	"2015"	"2015"	15	13963	Unreliable	Unreliable
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	13	13913	Unreliable	Unreliable
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	23	13871	165.8	160.6
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	16	13824	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"2015"	"2015"	109	82005	132.9	125.0
	"Cullman County, AL"	"01043"	"2016"	"2016"	118	82471	143.1	133.2
	"Cullman County, AL"	"01043"	"2017"	"2017"	128	82755	154.7	145.4
	"Cullman County, AL"	"01043"	"2018"	"2018"	116	83442	139.0	129.5
	"Dale County, AL"	"01045"	"2015"	"2015"	53	49565	106.9	102.3
	"Dale County, AL"	"01045"	"2016"	"2016"	70	49226	142.2	130.8
	"Dale County, AL"	"01045"	"2017"	"2017"	61	49226	123.9	114.7
	"Dale County, AL"	"01045"	"2018"	"2018"	60	48956	122.6	116.9
	"Dallas County, AL"	"01047"	"2015"	"2015"	62	41131	150.7	148.7
	"Dallas County, AL"	"01047"	"2016"	"2016"	54	40008	135.0	138.1
	"Dallas County, AL"	"01047"	"2017"	"2017"	57	39215	145.4	146.2
	"Dallas County, AL"	"01047"	"2018"	"2018"	69	38310	180.1	184.5
	"DeKalb County, AL"	"01049"	"2015"	"2015"	108	71130	151.8	144.4
	"DeKalb County, AL"	"01049"	"2016"	"2016"	94	70900	132.6	131.8
	"DeKalb County, AL"	"01049"	"2017"	"2017"	122	71617	170.4	162.9
	"DeKalb County, AL"	"01049"	"2018"	"2018"	86	71385	120.5	115.1
	"Elmore County, AL"	"01051"	"2015"	"2015"	90	81468	110.5	109.2
	"Elmore County, AL"	"01051"	"2016"	"2016"	102	81799	124.7	122.0
	"Elmore County, AL"	"01051"	"2017"	"2017"	78	81677	95.5	94.5
	"Elmore County, AL"	"01051"	"2018"	"2018"	79	81887	96.5	92.6
	"Escambia County, AL"	"01053"	"2015"	"2015"	71	37789	187.9	170.6
	"Escambia County, AL"	"01053"	"2016"	"2016"	77	37728	204.1	185.3
	"Escambia County, AL"	"01053"	"2017"	"2017"	61	37447	162.9	145.5
	"Escambia County, AL"	"01053"	"2018"	"2018"	56	36748	152.4	131.4
	"Etowah County, AL"	"01055"	"2015"	"2015"	150	103057	145.6	129.4
	"Etowah County, AL"	"01055"	"2016"	"2016"	170	102564	165.8	148.7
	"Etowah County, AL"	"01055"	"2017"	"2017"	159	102755	154.7	141.8
	"Etowah County, AL"	"01055"	"2018"	"2018"	145	102501	141.5	127.2
	"Fayette County, AL"	"01057"	"2015"	"2015"	32	16759	190.9	153.1
	"Fayette County, AL"	"01057"	"2016"	"2016"	27	16546	163.2	129.3
	"Fayette County, AL"	"01057"	"2017"	"2017"	25	16468	151.8	133.1
	"Fayette County, AL"	"01057"	"2018"	"2018"	19	16433	Unreliable	Unreliable
	"Franklin County, AL"	"01059"	"2015"	"2015"	47	31696	148.3	139.1
	"Franklin County, AL"	"01059"	"2016"	"2016"	38	31628	120.1	116.4
	"Franklin County, AL"	"01059"	"2017"	"2017"	36	31495	114.3	111.9
	"Franklin County, AL"	"01059"	"2018"	"2018"	38	31363	121.2	116.8
	"Geneva County, AL"	"01061"	"2015"	"2015"	43	26777	160.6	147.2
	"Geneva County, AL"	"01061"	"2016"	"2016"	26	26614	97.7	82.3
	"Geneva County, AL"	"01061"	"2017"	"2017"	45	26421	170.3	158.3
	"Geneva County, AL"	"01061"	"2018"	"2018"	40	26314	152.0	142.7
	"Greene County, AL"	"01063"	"2015"	"2015"	12	8479	Unreliable	Unreliable
	"Greene County, AL"	"01063"	"2016"	"2016"	10	8422	Unreliable	Unreliable
	"Greene County, AL"	"01063"	"2018"	"2018"	11	8233	Unreliable	Unreliable
	"Hale County, AL"	"01065"	"2015"	"2015"	16	15068	Unreliable	Unreliable
	"Hale County, AL"	"01065"	"2016"	"2016"	21	14952	140.4	130.4
	"Hale County, AL"	"01065"	"2017"	"2017"	25	14812	168.8	159.1
	"Hale County, AL"	"01065"	"2018"	"2018"	23	14726	156.2	146.0
	"Henry County, AL"	"01067"	"2015"	"2015"	21	17221	121.9	100.4
	"Henry County, AL"	"01067"	"2016"	"2016"	22	17164	128.2	106.1
	"Henry County, AL"	"01067"	"2017"	"2017"	31	17147	180.8	151.9
	"Henry County, AL"	"01067"	"2018"	"2018"	24	17209	139.5	112.0
	"Houston County, AL"	"01069"	"2015"	"2015"	132	104173	126.7	118.6
	"Houston County, AL"	"01069"	"2016"	"2016"	104	104056	99.9	94.0
	"Houston County, AL"	"01069"	"2017"	"2017"	127	104346	121.7	107.7
	"Houston County, AL"	"01069"	"2018"	"2018"	125	104722	119.4	113.4
	"Jackson County, AL"	"01071"	"2015"	"2015"	67	52419	127.8	106.6
	"Jackson County, AL"	"01071"	"2016"	"2016"	74	52138	141.9	120.9
	"Jackson County, AL"	"01071"	"2017"	"2017"	78	51909	150.3	128.4
	"Jackson County, AL"	"01071"	"2018"	"2018"	62	51736	119.8	99.2
	"Jefferson County, AL"	"01073"	"2015"	"2015"	955	660367	144.6	135.2
	"Jefferson County, AL"	"01073"	"2016"	"2016"	1020	659521	154.7	144.6
	"Jefferson County, AL"	"01073"	"2017"	"2017"	1108	659197	168.1	158.0
	"Jefferson County, AL"	"01073"	"2018"	"2018"	1065	659300	161.5	150.8
	"Lamar County, AL"	"01075"	"2015"	"2015"	19	13886	Unreliable	Unreliable
	"Lamar County, AL"	"01075"	"2016"	"2016"	21	13918	150.9	115.4
	"Lamar County, AL"	"01075"	"2017"	"2017"	29	13946	207.9	166.7
	"Lamar County, AL"	"01075"	"2018"	"2018"	12	13844	Unreliable	Unreliable
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	138	92596	149.0	114.8
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	128	92318	138.7	121.2
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	127	92538	137.2	115.7
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	128	92387	138.5	117.6
	"Lawrence County, AL"	"01079"	"2015"	"2015"	44	33115	132.9	121.5
	"Lawrence County, AL"	"01079"	"2016"	"2016"	48	33244	144.4	139.9
	"Lawrence County, AL"	"01079"	"2017"	"2017"	44	33049	133.1	127.1
	"Lawrence County, AL"	"01079"	"2018"	"2018"	41	32957	124.4	125.7
	"Lee County, AL"	"01081"	"2015"	"2015"	120	156993	76.4	91.3
	"Lee County, AL"	"01081"	"2016"	"2016"	130	158991	81.8	91.6
	"Lee County, AL"	"01081"	"2017"	"2017"	124	161604	76.7	87.0
	"Lee County, AL"	"01081"	"2018"	"2018"	124	163941	75.6	82.3
	"Limestone County, AL"	"01083"	"2015"	"2015"	91	91663	99.3	104.0
	"Limestone County, AL"	"01083"	"2016"	"2016"	70	92753	75.5	79.7
	"Limestone County, AL"	"01083"	"2017"	"2017"	93	94402	98.5	96.0
	"Limestone County, AL"	"01083"	"2018"	"2018"	103	96174	107.1	108.6
	"Lowndes County, AL"	"01085"	"2015"	"2015"	21	10458	200.8	181.4
	"Lowndes County, AL"	"01085"	"2016"	"2016"	19	10358	Unreliable	Unreliable
	"Lowndes County, AL"	"01085"	"2017"	"2017"	14	10076	Unreliable	Unreliable
	"Lowndes County, AL"	"01085"	"2018"	"2018"	15	9974	Unreliable	Unreliable
	"Macon County, AL"	"01087"	"2015"	"2015"	23	19105	120.4	105.8
	"Macon County, AL"	"01087"	"2016"	"2016"	25	18963	131.8	117.2
	"Macon County, AL"	"01087"	"2017"	"2017"	29	18755	154.6	137.7
	"Macon County, AL"	"01087"	"2018"	"2018"	26	18439	141.0	141.6
	"Madison County, AL"	"01089"	"2015"	"2015"	370	353089	104.8	102.0
	"Madison County, AL"	"01089"	"2016"	"2016"	411	356967	115.1	111.9
	"Madison County, AL"	"01089"	"2017"	"2017"	403	361046	111.6	108.6
	"Madison County, AL"	"01089"	"2018"	"2018"	319	366519	87.0	84.5
	"Marengo County, AL"	"01091"	"2015"	"2015"	40	20028	199.7	155.2
	"Marengo County, AL"	"01091"	"2016"	"2016"	38	19673	193.2	150.2
	"Marengo County, AL"	"01091"	"2017"	"2017"	37	19375	191.0	158.9
	"Marengo County, AL"	"01091"	"2018"	"2018"	31	19066	162.6	152.2
	"Marion County, AL"	"01093"	"2015"	"2015"	52	30168	172.4	132.6
	"Marion County, AL"	"01093"	"2016"	"2016"	42	29998	140.0	112.6
	"Marion County, AL"	"01093"	"2017"	"2017"	42	29833	140.8	116.1
	"Marion County, AL"	"01093"	"2018"	"2018"	47	29763	157.9	123.9
	"Marshall County, AL"	"01095"	"2015"	"2015"	118	94725	124.6	122.4
	"Marshall County, AL"	"01095"	"2016"	"2016"	112	95157	117.7	111.8
	"Marshall County, AL"	"01095"	"2017"	"2017"	118	95548	123.5	118.9
	"Marshall County, AL"	"01095"	"2018"	"2018"	124	96109	129.0	117.0
	"Mobile County, AL"	"01097"	"2015"	"2015"	504	415395	121.3	117.9
	"Mobile County, AL"	"01097"	"2016"	"2016"	519	414836	125.1	121.5
	"Mobile County, AL"	"01097"	"2017"	"2017"	542	413955	130.9	126.0
	"Mobile County, AL"	"01097"	"2018"	"2018"	533	413757	128.8	120.1
	"Monroe County, AL"	"01099"	"2015"	"2015"	33	21673	152.3	144.7
	"Monroe County, AL"	"01099"	"2016"	"2016"	33	21530	153.3	154.5
	"Monroe County, AL"	"01099"	"2017"	"2017"	30	21327	140.7	135.3
	"Monroe County, AL"	"01099"	"2018"	"2018"	27	21067	128.2	123.0
	"Montgomery County, AL"	"01101"	"2015"	"2015"	225	226519	99.3	96.7
	"Montgomery County, AL"	"01101"	"2016"	"2016"	240	226349	106.0	103.1
	"Montgomery County, AL"	"01101"	"2017"	"2017"	234	226646	103.2	99.1
	"Montgomery County, AL"	"01101"	"2018"	"2018"	221	225763	97.9	93.1
	"Morgan County, AL"	"01103"	"2015"	"2015"	161	119565	134.7	125.3
	"Morgan County, AL"	"01103"	"2016"	"2016"	138	119012	116.0	111.3
	"Morgan County, AL"	"01103"	"2017"	"2017"	161	118818	135.5	127.6
	"Morgan County, AL"	"01103"	"2018"	"2018"	157	119089	131.8	121.4
	"Perry County, AL"	"01105"	"2015"	"2015"	16	9652	Unreliable	Unreliable
	"Perry County, AL"	"01105"	"2016"	"2016"	10	9574	Unreliable	Unreliable
	"Perry County, AL"	"01105"	"2017"	"2017"	18	9339	Unreliable	Unreliable
	"Perry County, AL"	"01105"	"2018"	"2018"	12	9140	Unreliable	Unreliable
	"Pickens County, AL"	"01107"	"2015"	"2015"	25	20864	119.8	99.3
	"Pickens County, AL"	"01107"	"2016"	"2016"	31	20324	152.5	134.3
	"Pickens County, AL"	"01107"	"2017"	"2017"	19	20176	Unreliable	Unreliable
	"Pickens County, AL"	"01107"	"2018"	"2018"	37	19938	185.6	159.9
	"Pike County, AL"	"01109"	"2015"	"2015"	39	33046	118.0	107.5
	"Pike County, AL"	"01109"	"2016"	"2016"	28	33286	84.1	94.3
	"Pike County, AL"	"01109"	"2017"	"2017"	37	33267	111.2	109.1
	"Pike County, AL"	"01109"	"2018"	"2018"	35	33338	105.0	103.8
	"Randolph County, AL"	"01111"	"2015"	"2015"	24	22696	105.7	93.5
	"Randolph County, AL"	"01111"	"2016"	"2016"	29	22652	128.0	101.9
	"Randolph County, AL"	"01111"	"2017"	"2017"	41	22670	180.9	167.5
	"Randolph County, AL"	"01111"	"2018"	"2018"	38	22725	167.2	129.7
	"Russell County, AL"	"01113"	"2015"	"2015"	63	59660	105.6	107.8
	"Russell County, AL"	"01113"	"2016"	"2016"	60	58172	103.1	107.8
	"Russell County, AL"	"01113"	"2017"	"2017"	81	57045	142.0	140.8
	"Russell County, AL"	"01113"	"2018"	"2018"	77	57781	133.3	133.0
	"St. Clair County, AL"	"01115"	"2015"	"2015"	116	87074	133.2	132.9
	"St. Clair County, AL"	"01115"	"2016"	"2016"	120	88019	136.3	137.1
	"St. Clair County, AL"	"01115"	"2017"	"2017"	120	88199	136.1	133.5
	"St. Clair County, AL"	"01115"	"2018"	"2018"	139	88690	156.7	157.2
	"Shelby County, AL"	"01117"	"2015"	"2015"	189	208713	90.6	94.1
	"Shelby County, AL"	"01117"	"2016"	"2016"	182	210622	86.4	89.9
	"Shelby County, AL"	"01117"	"2017"	"2017"	191	213605	89.4	90.3
	"Shelby County, AL"	"01117"	"2018"	"2018"	192	215707	89.0	85.8
	"Sumter County, AL"	"01119"	"2015"	"2015"	22	13103	167.9	173.6
	"Sumter County, AL"	"01119"	"2016"	"2016"	18	13040	Unreliable	Unreliable
	"Sumter County, AL"	"01119"	"2017"	"2017"	13	12687	Unreliable	Unreliable
	"Sumter County, AL"	"01119"	"2018"	"2018"	23	12691	181.2	159.2
	"Talladega County, AL"	"01121"	"2015"	"2015"	150	80862	185.5	173.4
	"Talladega County, AL"	"01121"	"2016"	"2016"	129	80103	161.0	147.3
	"Talladega County, AL"	"01121"	"2017"	"2017"	163	80065	203.6	197.1
	"Talladega County, AL"	"01121"	"2018"	"2018"	121	79828	151.6	138.5
	"Tallapoosa County, AL"	"01123"	"2015"	"2015"	52	40844	127.3	106.4
	"Tallapoosa County, AL"	"01123"	"2016"	"2016"	84	40727	206.3	180.6
	"Tallapoosa County, AL"	"01123"	"2017"	"2017"	67	40681	164.7	141.3
	"Tallapoosa County, AL"	"01123"	"2018"	"2018"	70	40497	172.9	149.2
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	197	203976	96.6	100.4
	"Tuscaloosa County, AL"	"01125"	"2016"	"2016"	195	206102	94.6	100.0
	"Tuscaloosa County, AL"	"01125"	"2017"	"2017"	195	207811	93.8	97.1
	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	186	208911	89.0	90.4
	"Walker County, AL"	"01127"	"2015"	"2015"	102	65294	156.2	144.6
	"Walker County, AL"	"01127"	"2016"	"2016"	97	64967	149.3	146.7
	"Walker County, AL"	"01127"	"2017"	"2017"	120	64058	187.3	174.2
	"Walker County, AL"	"01127"	"2018"	"2018"	95	63711	149.1	139.4
	"Washington County, AL"	"01129"	"2015"	"2015"	27	16804	160.7	160.2
	"Washington County, AL"	"01129"	"2016"	"2016"	34	16756	202.9	202.8
	"Washington County, AL"	"01129"	"2017"	"2017"	25	16531	151.2	149.2
	"Washington County, AL"	"01129"	"2018"	"2018"	27	16378	164.9	171.7
	"Wilcox County, AL"	"01131"	"2015"	"2015"	16	11059	Unreliable	Unreliable
	"Wilcox County, AL"	"01131"	"2016"	"2016"	12	10986	Unreliable	Unreliable
	"Wilcox County, AL"	"01131"	"2017"	"2017"	13	10719	Unreliable	Unreliable
	"Wilcox County, AL"	"01131"	"2018"	"2018"	11	10627	Unreliable	Unreliable
	"Winston County, AL"	"01133"	"2015"	"2015"	26	23877	108.9	99.4
