,id,name,geometry,County,County Code,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Suicide_Death_Rate,Calculated_Age_Adjusted_Rate,binned
0,01001,Autauga,"POLYGON ((-86.41178600000001 32.706342, -86.41178600000001 32.410587, -86.49941699999999 32.344863, -86.81707900000001 32.339387, -86.91566400000001 32.662526, -86.41178600000001 32.706342))","Autauga County, AL",01001,2013,64,55246,115.8,89.2,147.9,121.2,92.9,155.4,115.845491076277,124.81927710843374,"(90.161, 143.859]"
1,01003,Baldwin,"POLYGON ((-87.76459 31.298768, -87.616713 31.243998, -87.60028200000001 30.997536, -87.518128 30.280057, -88.00557499999999 30.685351, -87.972714 31.161844, -87.945329 31.194706, -87.76459 31.298768))","Baldwin County, AL",01003,2013,260,195540,133.0,116.8,149.1,118.5,103.7,133.2,132.96512222563157,118.76378244973579,"(90.161, 143.859]"
2,01005,Barbour,"POLYGON ((-85.354736 32.147694, -85.053504 32.06554, -85.069935 31.994339, -85.141136 31.780739, -85.12470500000001 31.764308, -85.41498300000001 31.621907, -85.69430699999999 31.61643, -85.749076 31.61643, -85.655968 31.879324, -85.40950599999999 32.147694, -85.354736 32.147694))","Barbour County, AL",01005,2013,34,27076,125.6,87.0,175.5,117.9,81.1,165.5,125.57246269759197,123.8645227979628,"(90.161, 143.859]"
3,01007,Bibb,"POLYGON ((-87.063542 33.248559, -87.025203 33.248559, -86.882803 33.051389, -87.01972600000001 32.837788, -87.326435 32.876127, -87.419543 32.876127, -87.419543 33.002096, -87.063542 33.248559))","Bibb County, AL",01007,2013,29,22512,128.8,86.3,185.0,134.3,89.2,194.1,128.82018479033405,142.30592730193405,"(90.161, 143.859]"
4,01009,Blount,"POLYGON ((-86.488463 34.261793, -86.455601 34.261793, -86.30224699999999 34.097484, -86.324155 33.938653, -86.576094 33.763391, -86.685633 33.796253, -86.954003 33.812683, -86.964957 33.856499, -86.488463 34.261793))","Blount County, AL",01009,2013,86,57872,148.6,118.9,183.5,145.0,115.5,179.7,148.60381531656068,148.34661194064716,"(143.859, 197.556]"
5,01011,Bullock,"POLYGON ((-85.91886100000001 32.273663, -85.43141300000001 32.235325, -85.40950599999999 32.147694, -85.655968 31.879324, -85.995538 32.049109, -85.91886100000001 32.273663))","Bullock County, AL",01011,2013,18,10639,Unreliable,100.3,267.4,,92.1,245.5,169.18883353698658,167.92336381031345,"(143.859, 197.556]"
6,01013,Butler,"POLYGON ((-86.477509 31.966955, -86.450124 31.966955, -86.49941699999999 31.523322, -86.70206399999999 31.523322, -86.90470999999999 31.753354, -86.90470999999999 31.830031, -86.855418 31.961478, -86.477509 31.966955))","Butler County, AL",01013,2013,24,20265,118.4,75.9,176.2,100.8,63.1,152.5,118.43079200592153,108.92208864613342,"(90.161, 143.859]"
7,01015,Calhoun,"POLYGON ((-85.738122 33.966038, -85.52999800000001 33.94413, -85.798368 33.555267, -86.143416 33.681237, -86.066738 33.840068, -85.738122 33.966038))","Calhoun County, AL",01015,2013,150,116736,128.5,107.9,149.1,119.0,99.7,138.3,128.4950657894737,119.22071240528255,"(90.161, 143.859]"
8,01017,Chambers,"POLYGON ((-85.40402899999999 33.106158, -85.234244 33.106158, -85.184951 32.87065, -85.130182 32.74468, -85.184951 32.74468, -85.59572199999999 32.728249, -85.59572199999999 33.106158, -85.40402899999999 33.106158))","Chambers County, AL",01017,2013,54,34162,158.1,118.7,206.2,143.7,106.7,189.5,158.07037058720215,149.59870249462534,"(143.859, 197.556]"
9,01019,Cherokee,"POLYGON ((-85.51356699999999 34.524686, -85.464275 34.2837, -85.42046000000001 34.081054, -85.398552 33.966038, -85.52999800000001 33.94413, -85.738122 33.966038, -85.842184 34.201546, -85.51356699999999 34.524686))","Cherokee County, AL",01019,2013,45,26203,171.7,125.3,229.8,170.5,122.9,230.5,171.73606075640194,178.38078320283188,"(143.859, 197.556]"
