"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"2009"	"2009"	41	54135	75.7	54.4	102.7	84.3	60.0	115.3
	"Autauga County, AL"	"01001"	"2010"	"2010"	60	54571	109.9	83.9	141.5	124.0	93.9	160.6
	"Autauga County, AL"	"01001"	"2011"	"2011"	77	55267	139.3	110.0	174.1	154.3	121.2	193.8
	"Autauga County, AL"	"01001"	"2012"	"2012"	57	55514	102.7	77.8	133.0	110.5	83.2	143.8
	"Autauga County, AL"	"01001"	"2013"	"2013"	64	55246	115.8	89.2	147.9	121.2	92.9	155.4
	"Baldwin County, AL"	"01003"	"2009"	"2009"	219	179406	122.1	105.9	138.2	113.0	97.7	128.3
	"Baldwin County, AL"	"01003"	"2010"	"2010"	217	182265	119.1	103.2	134.9	110.0	95.0	124.9
	"Baldwin County, AL"	"01003"	"2011"	"2011"	238	186717	127.5	111.3	143.7	114.0	99.3	128.8
	"Baldwin County, AL"	"01003"	"2012"	"2012"	261	190790	136.8	120.2	153.4	123.0	107.7	138.3
	"Baldwin County, AL"	"01003"	"2013"	"2013"	260	195540	133.0	116.8	149.1	118.5	103.7	133.2
	"Barbour County, AL"	"01005"	"2009"	"2009"	35	27657	126.6	88.1	176.0	116.5	80.7	162.8
	"Barbour County, AL"	"01005"	"2010"	"2010"	23	27457	83.8	53.1	125.7	74.9	46.9	113.4
	"Barbour County, AL"	"01005"	"2011"	"2011"	30	27119	110.6	74.6	157.9	102.3	68.5	147.0
	"Barbour County, AL"	"01005"	"2012"	"2012"	28	27201	102.9	68.4	148.8	98.5	64.9	143.3
	"Barbour County, AL"	"01005"	"2013"	"2013"	34	27076	125.6	87.0	175.5	117.9	81.1	165.5
	"Bibb County, AL"	"01007"	"2009"	"2009"	27	22941	117.7	77.6	171.2	127.6	84.1	185.7
	"Bibb County, AL"	"01007"	"2010"	"2010"	22	22915	96.0	60.2	145.4	98.3	61.6	148.8
	"Bibb County, AL"	"01007"	"2011"	"2011"	24	22766	105.4	67.5	156.9	109.0	69.1	163.6
	"Bibb County, AL"	"01007"	"2012"	"2012"	25	22597	110.6	71.6	163.3	117.1	75.8	172.8
	"Bibb County, AL"	"01007"	"2013"	"2013"	29	22512	128.8	86.3	185.0	134.3	89.2	194.1
	"Blount County, AL"	"01009"	"2009"	"2009"	77	57341	134.3	106.0	167.8	136.1	107.2	170.3
	"Blount County, AL"	"01009"	"2010"	"2010"	62	57322	108.2	82.9	138.7	107.5	82.2	138.1
	"Blount County, AL"	"01009"	"2011"	"2011"	72	57677	124.8	97.7	157.2	125.1	97.5	158.1
	"Blount County, AL"	"01009"	"2012"	"2012"	95	57826	164.3	132.9	200.8	160.4	129.3	196.7
	"Blount County, AL"	"01009"	"2013"	"2013"	86	57872	148.6	118.9	183.5	145.0	115.5	179.7
	"Bullock County, AL"	"01011"	"2009"	"2009"	11	10987	Unreliable	50.0	179.1	Unreliable	44.7	160.2
	"Bullock County, AL"	"01011"	"2010"	"2010"	10	10914	Unreliable	43.9	168.5	Unreliable	35.7	137.0
